id,ubicacion,prioridad,tipo,timestamp,estado
I-0001,Zona_17,1,incendio,2026-06-27 17:06:00,pendiente
I-0002,Zona_28,3,derrumbe,2026-06-25 13:16:00,pendiente
I-0003,Zona_21,4,emergencia_medica,2026-06-28 16:21:00,pendiente
I-0004,Zona_8,4,emergencia_medica,2026-07-02 08:06:00,pendiente
I-0005,Zona_17,1,derrumbe,2026-06-29 12:56:00,pendiente
I-0006,Zona_1,5,fuga_de_gas,2026-06-28 08:59:00,pendiente
I-0007,Zona_44,2,inundacion,2026-06-29 14:14:00,pendiente
I-0008,Zona_5,3,emergencia_medica,2026-06-30 22:17:00,pendiente
I-0009,Zona_43,1,derrumbe,2026-07-01 02:00:00,pendiente
I-0010,Zona_33,3,derrumbe,2026-06-29 20:29:00,pendiente
I-0011,Zona_21,4,derrumbe,2026-07-01 03:16:00,pendiente
I-0012,Zona_36,2,accidente_vehicular,2026-06-29 17:12:00,pendiente
I-0013,Zona_43,4,derrumbe,2026-06-25 23:43:00,pendiente
I-0014,Zona_12,5,emergencia_medica,2026-07-01 01:50:00,pendiente
I-0015,Zona_26,5,fuga_de_gas,2026-07-04 11:54:00,pendiente
I-0016,Zona_20,3,accidente_vehicular,2026-06-29 14:37:00,pendiente
I-0017,Zona_38,5,derrumbe,2026-06-30 20:01:00,pendiente
I-0018,Zona_30,4,robo,2026-06-26 19:31:00,pendiente
I-0019,Zona_14,5,robo,2026-06-25 11:16:00,pendiente
I-0020,Zona_11,1,inundacion,2026-06-28 15:15:00,pendiente
I-0021,Zona_43,5,inundacion,2026-07-03 10:30:00,pendiente
I-0022,Zona_16,3,accidente_vehicular,2026-06-25 07:46:00,pendiente
I-0023,Zona_13,2,incendio,2026-07-03 23:23:00,pendiente
I-0024,Zona_16,4,emergencia_medica,2026-06-24 19:58:00,pendiente
I-0025,Zona_5,4,robo,2026-06-27 08:02:00,pendiente
I-0026,Zona_37,2,derrumbe,2026-06-26 13:51:00,pendiente
I-0027,Zona_25,4,robo,2026-07-01 17:23:00,pendiente
I-0028,Zona_10,1,fuga_de_gas,2026-06-24 17:03:00,pendiente
